# CID resid DLMAGERR zHD HOST_LOGMASS STRETCH STRETCHERR AV resid2 DLMAGERR2
PScA470110 0.05540273359871861 0.035146 0.34578 9.889 1.171 0.000203311 0.05 -0.03699726640128631 0.0325164
PScA470240 -0.10530810659831502 0.0237319 0.43024 9.364 1.026 0.0527633 0.429 -0.12409810659831066 0.0237839
PScB480464 0.14387787431322607 0.0331577 0.22089 10.283 0.972 0.000236389 -0.016 0.15392787431322574 0.0334826
PScC490037 -0.18785181216327373 0.0511963 0.42239 10.934 0.977 0.0133632 -0.006 -0.16176181216327024 0.0511671
PScC490521 -0.2469360330869037 0.0440864 0.34067 9.748 1.175 0.000231635 0.993 -0.39529603308690753 0.0422531
PScD500100 0.10103435352624501 0.0294417 0.31036 10.526 0.783 0.000589044 0.023 0.10454435352624358 0.0322415
PScD500301 -0.2707261811198265 0.0699978 0.32523 9.613 1.175 0.000106154 0.64 -0.43303618111982445 0.0676195
PScF510457 0.5592968292259357 0.0674941 0.50219 9.477 1.125 0.000419333 -0.016 0.5162368292259316 0.0654389
PScF520062 0.40161353072788586 0.049191 0.30798 10.07 1.171 0.000112739 0.06 0.2935735307278904 0.0474819
PScF520188 -0.18121526613241912 0.0284341 0.28026 9.402 1.148 0.00015166 -0.028 -0.26851526613241816 0.024559
PScG530251 -0.014046972382473655 0.0450304 0.4125 9.243 0.987 0.048868 0.379 -0.0011769723824741618 0.045001
PScH540087 0.0902872851269052 0.045029 0.27542 10.092 1.129 0.00014976 0.13 0.009777285126908453 0.0433509
PScH540118 -0.07524243879590387 0.0577876 0.47746 9.946 0.982 0.00226335 0.065 -0.05625243879590158 0.0575999
PScJ440005 -0.07683059293638905 0.0443208 0.30575 10.841 1.175 0.000239708 0.521 -0.20774059293638913 0.0436343
PScJ440236 0.11341854970796561 0.0246265 0.42968 10.385 1.171 0.000189721 0.095 -0.006821450292029851 0.0242775
PScJ550202 0.060283371488011994 0.0335845 0.42153 8.848 1.129 0.00108701 0.139 0.004213371488013706 0.0326041
PScJ560027 -0.1546276416243728 0.0270028 0.43971 9.238 0.955 0.0249155 0.153 -0.1206976416243748 0.0269099
PScJ560054 -0.07151869631349683 0.0402856 0.48127 9.247 1.171 0.00100552 0.022 -0.19496869631349512 0.0403448
PScK450339 0.08087148446335846 0.0346547 0.41006 8.878 1.171 0.000125782 0.146 -0.0546085155366427 0.0344797
DES15C3odz 0.37838855842556285 0.0591082 0.5083 8.638 1.115 0.00389633 -0.096 0.4162385584255617 0.0575819
DES15E2mhy -0.20804813736901195 0.051171 0.43955 9.671 1.074 0.000753451 0.007 -0.2393481373690136 0.0509466
DES15E2nlz 0.1549905037029191 0.0504249 0.41041 8.956 1.115 0.00203727 0.131 0.09873050370292447 0.0473851
DES15E2uc 0.30772298577971924 0.0494591 0.56665 8.591 1.115 0.000780052 -0.08 0.30330298577972314 0.0476077
DES15X2kvt 0.10119406399082465 0.0764739 0.40446 11.012 0.922 0.000715366 0.127 0.1626140639908229 0.0782258
DES15X2mey 0.12379512179783347 0.0604721 0.60879 9.599 1.12 0.000944665 0.0 0.08331512179783118 0.0579742
DES15X2nkz 0.1030801123930587 0.0589996 0.46935 9.792 1.124 0.0937769 0.064 0.07466011239305459 0.0560158
DES16C1cim -0.011756077892691508 0.0482894 0.53129 8.392 1.046 0.000658679 0.134 -0.009536077892690287 0.0488954
DES16C2cva 0.06716318055418924 0.0525297 0.4031 9.011 0.927 0.0269988 0.174 0.11968318055419047 0.054528
DES16C3cmy -0.006880100207339979 0.0497656 0.55675 10.706 1.088 0.000298074 -0.057 -0.04104010020733995 0.0480699
DES16E1dcx -0.1609005220454307 0.0404913 0.45348 10.77 1.18 0.00025455 0.375 -0.2902105220454345 0.040129
DES16E2clk -0.039332103305802946 0.0389212 0.36736 8.906 0.977 0.000282149 0.191 -0.022562103305801884 0.0389414
DES16E2cqq 0.12280900970331743 0.0394312 0.42644 9.251 0.912 0.000558927 0.206 0.17345900970331485 0.0421426
DES16S1agd -0.2459281973494356 0.0539871 0.50452 9.747 1.051 0.000583985 0.192 -0.24265819734943506 0.0546841
DES16S1bno 0.09355722201135563 0.0430091 0.47049 8.54 0.867 0.0361639 0.039 0.14360722201135445 0.0462061
DES16S2afz -0.2383063474499849 0.0514775 0.48351 9.551 1.171 0.000210643 0.104 -0.3298263474499805 0.0506784
DES16X3cry -0.008790506542467824 0.0290595 0.61279 8.938 1.068 0.0332452 0.021 -0.07654050654247158 0.0284397
DES16X3zd -0.3040796793601217 0.070512 0.49558 10.053 0.954 0.000426379 0.424 -0.2668896793601192 0.0709666
2004ef -0.08501377202726701 0.0182781 0.02957 10.439 0.804 0.00221111 0.256 0.11557622797273126 0.0175913
2004eo 0.03485047719815526 0.0125705 0.01418 11.022 0.811 0.00247315 0.251 0.25538047719815893 0.0110403
2004ey 0.24084115434236253 0.0167004 0.01401 9.671 1.007 0.00398687 0.064 0.23342115434235922 0.0167542
2004gu 0.02787909940419553 0.0209024 0.04684 10.092 1.134 0.000275669 0.187 -0.0720809005958003 0.0188893
2005M 0.2442479864227849 0.0115569 0.02307 9.636 1.164 0.00627825 0.082 0.11825798642278329 0.0111833
2005ag 0.021011224685139496 0.0294489 0.08041 10.706 1.105 0.0128593 0.059 -0.03638877531486173 0.0278876
2005al 0.007768814606784247 0.0113073 0.01446 10.733 0.849 0.00342409 -0.018 0.30973881460678143 0.00990407
2005el 0.3911225492432706 0.0138646 0.01475 10.826 1.171 0.000191898 0.076 0.30626254924327156 0.0125301
2005hc 0.14635986150737068 0.0133475 0.04396 10.307 1.134 0.0135289 0.05 0.06318986150736805 0.0129238
2005hj -0.04616051587935743 0.022342 0.05551 9.263 1.134 0.000938825 0.08 -0.12084051587935818 0.0218905
2005iq 0.06406525044135947 0.0100064 0.03226 10.318 0.863 0.00406273 0.039 0.23478525044135523 0.0101808
2005kc 0.10073870621414471 0.0155065 0.01332 10.624 0.869 0.00381537 0.545 0.23452870621414945 0.0148054
2005ki -0.16804506636351135 0.00826756 0.02091 10.902 0.811 0.00309646 -0.002 0.03942493363648936 0.00798441
2005na -0.2179948604413795 0.0172388 0.02674 10.978 0.939 0.00471479 0.11 -0.0622048604413834 0.0162572
2006ax -0.07044228418126863 0.00723053 0.01796 10.467 0.984 0.00375159 -0.025 -0.05288228418127261 0.00720575
2006et -0.002002881447182858 0.0062378 0.02096 10.857 1.041 0.00519684 0.327 -0.039622881447179736 0.00624871
2006hx -0.06911691674189768 0.0134374 0.04366 10.105 0.94 0.00857486 0.3 -0.022526916741895775 0.0137892
2006kf 0.3391799854102828 0.0252313 0.0209 10.71 1.175 0.000325479 0.097 0.19056998541028491 0.0232909
2007A 0.1171109658223628 0.0138712 0.01597 10.094 1.001 0.0123971 0.418 0.11645096582236647 0.0138722
2007S -0.09318134434815306 0.00603502 0.01489 9.713 1.078 0.00628053 0.714 -0.15225134434815146 0.00572837
2007as 0.012389827134136056 0.0191792 0.01731 10.22 0.864 0.00395762 0.185 0.23555982713413925 0.018419
2007bd -0.12226842858301268 0.0111731 0.03203 10.473 0.878 0.00387707 0.063 0.029141571416985812 0.0113395
2007ca 0.02564383658709346 0.0105037 0.01572 10.118 1.037 0.00614121 0.602 -0.011036163412903477 0.0105815
2007jg 0.19708754609436596 0.0178442 0.0355 8.935 0.909 0.004852 0.192 0.2766075460943682 0.0177289
