JD Phase u uerr g gerr r rerr i ierr B Berr V Verr
2456230.70 −12.40 14.975 015 13.952 009 14.079 008 14.576 009 14.066 027 13.990 015
2456231.70 −11.40 14.220 017 13.458 011 13.609 010 14.028 011 13.524 025 13.528 011
2456232.70 −10.40 13.688 016 13.098 010 13.248 009 13.646 009 13.126 025 13.178 009
2456233.62 −9.48 13.351 018 12.841 010 13.022 009 13.369 010 12.846 026 12.931 010
2456234.66 −8.44 13.061 019 -99 -99 12.778 012 13.136 012 12.621 026 12.707 011
2456235.60 −7.50 12.901 017 12.450 011 12.647 012 13.026 013 12.465 026 12.569 013
2456236.69 −6.41 12.758 017 12.312 012 12.515 012 12.941 013 12.333 028 12.417 013
2456238.72 −4.38 12.594 017 -99 -99 12.298 010 12.867 013 12.113 030 12.196 015
2456239.67 −3.43 12.564 015 12.058 009 12.248 009 12.843 010 12.109 027 12.128 011
2456241.67 −1.43 12.559 015 12.001 015 12.149 009 12.842 009 12.021 025 12.051 010
2456242.64 −0.46 12.582 016 11.994 010 12.107 008 12.851 010 12.051 027 12.016 011
2456243.63 +0.53 12.621 019 11.985 012 12.084 012 12.888 017 12.018 030 12.002 012
2456244.65 +1.55 12.649 015 11.988 011 12.075 009 12.913 011 12.060 028 11.994 010
2456245.61 +2.51 12.687 019 12.004 013 12.061 015 12.920 018 12.057 030 11.981 016
2456246.63 +3.53 12.734 017 12.010 011 12.093 014 12.946 014 12.102 028 12.000 013
2456247.65 +4.55 12.776 018 12.044 012 12.096 011 12.966 015 12.140 029 12.015 012
2456248.62 +5.52 12.833 015 12.072 011 12.116 010 13.043 013 12.168 029 12.035 010
2456249.66 +6.56 12.890 016 12.109 011 12.148 009 13.060 012 12.237 029 12.060 011
2456250.67 +7.57 12.967 021 12.153 014 12.227 014 13.094 016 12.294 030 12.102 017
2456251.63 +8.53 13.053 019 12.213 015 12.253 014 13.164 013 12.342 033 12.141 015
2456252.68 +9.58 13.125 016 12.269 009 12.322 008 13.214 010 12.416 025 12.193 010
2456253.61 +10.51 13.222 016 12.324 009 12.387 008 13.310 009 12.480 025 12.265 011
2456254.64 +11.54 13.329 017 12.370 011 12.456 010 13.378 011 12.544 026 12.311 010
2456255.67 +12.57 13.434 018 12.464 013 12.554 013 13.475 014 12.646 026 12.390 013
2456256.60 +13.50 13.537 018 12.528 013 12.623 013 13.571 014 12.745 030 12.433 015
2456257.60 +14.50 13.655 018 12.612 012 12.682 013 13.658 013 12.835 028 12.497 012
2456258.62 +15.52 13.765 018 12.692 011 12.755 011 13.712 012 12.891 028 12.582 013
2456259.59 +16.49 13.884 018 12.749 010 12.808 009 13.732 012 13.000 030 12.629 011
2456261.62 +18.52 14.096 016 12.890 009 12.874 009 13.747 010 13.174 027 12.716 010
2456262.65 +19.55 14.240 016 12.959 012 12.901 012 13.759 013 13.268 027 12.772 012
2456263.65 +20.55 14.334 015 13.022 009 12.916 009 13.714 011 13.392 028 12.791 011
2456264.69 +21.59 14.445 016 13.114 010 12.920 009 13.683 011 13.464 027 12.837 011
2456265.63 +22.53 14.523 017 13.171 011 12.921 011 13.648 013 13.543 027 12.885 012
2456266.64 +23.54 14.630 016 13.234 011 12.922 010 13.632 011 13.642 028 12.896 011
2456267.65 +24.55 14.726 017 13.308 012 12.915 013 13.579 013 13.762 038 12.935 013
2456268.74 +25.64 14.816 015 13.382 009 12.926 008 13.554 009 13.817 027 12.985 010
2456269.78 +26.68 14.912 017 13.451 010 12.930 010 13.518 013 13.900 029 13.028 013
2456270.74 +27.64 14.985 015 13.518 010 12.946 010 13.470 012 13.982 027 13.065 011
2456271.74 +28.64 15.065 017 13.590 012 12.950 011 13.429 013 14.080 030 13.116 013
2456272.74 +29.64 15.125 015 13.674 011 12.983 010 13.421 011 14.105 029 13.141 012
2456273.71 +30.61 15.209 016 13.731 011 12.995 011 13.411 012 14.165 028 13.186 012
2456274.69 +31.59 15.284 016 13.806 011 13.034 010 13.374 011 14.258 028 13.250 012
2456275.72 +32.62 15.341 017 13.880 011 13.082 012 13.375 014 14.340 030 13.305 014
2456276.75 +33.65 15.409 017 13.966 012 13.141 010 13.388 014 14.401 030 13.371 013
2456278.61 +35.51 15.520 016 14.104 011 13.244 011 13.477 012 14.486 028 13.515 011
2456279.74 +36.64 15.581 017 14.165 011 13.334 010 13.546 013 14.545 036 13.587 013
2456280.73 +37.63 15.617 016 14.229 010 13.409 010 13.633 010 14.608 026 13.667 012
2456281.67 +38.57 15.648 015 14.275 010 13.456 009 13.694 010 14.646 025 13.716 011
2456282.76 +39.66 15.683 016 14.330 010 13.539 008 13.789 009 14.730 026 13.784 009
2456283.68 +40.58 15.736 016 14.384 011 13.595 010 13.850 012 14.747 026 13.831 011
2456284.72 +41.62 15.754 016 14.423 009 13.645 008 13.910 010 14.784 025 13.897 009
2456285.65 +42.55 15.806 016 14.466 011 13.698 012 13.960 011 14.828 027 13.938 013
2456286.65 +43.55 15.820 017 14.492 011 13.745 010 14.009 012 14.859 027 13.973 012
2456288.73 +45.63 15.860 017 14.548 010 13.816 009 14.127 011 14.908 026 14.041 011
