JD Phase Y Yerr J Jerr H Herr Telescope
2456231.84 −11.26 13.675 027 13.607 033 13.712 031 BAA
2456232.87 −10.23 13.390 022 13.302 020 13.507 029 BAA
2456233.86 −9.24 13.177 022 13.069 020 13.269 029 BAA
2456234.71 −8.39 13.061 025 12.953 020 13.148 061 DUP
2456234.85 −8.25 13.028 022 12.938 020 13.207 029 BAA
2456235.73 −7.37 12.979 022 12.848 020 13.094 061 DUP
2456235.84 −7.26 12.974 022 12.834 020 13.072 031 BAA
2456236.67 −6.43 12.929 025 12.799 020 12.974 062 DUP
2456237.60 −5.50 12.894 025 12.745 020 12.990 061 DUP
2456241.86 −1.24 12.988 026 12.776 025 13.040 027 BAA
2456244.87 +1.77 13.224 022 12.901 020 13.134 027 BAA
2456246.86 +3.76 13.482 022 13.048 020 13.185 029 BAA
2456248.87 +5.77 13.624 022 13.176 020 13.235 028 BAA
2456249.87 +6.77 13.648 022 13.286 020 13.316 030 BAA
2456251.86 +8.76 13.780 022 13.545 020 13.398 040 BAA
2456252.84 +9.74 13.885 027 13.639 020 13.389 027 BAA
2456253.69 +10.59 13.861 022 13.807 020 13.383 027 DUP
2456254.68 +11.58 13.899 022 13.984 020 13.440 027 DUP
2456256.84 +13.74 13.949 022 14.335 020 13.450 028 BAA
2456258.59 +15.49 13.911 026 14.521 020 13.444 062 DUP
2456259.60 +16.50 13.875 025 14.530 020 13.398 061 DUP
2456264.59 +21.49 13.525 022 14.459 020 13.287 027 DUP
2456265.61 +22.51 13.459 026 14.432 025 13.254 030 DUP
2456266.61 +23.51 13.381 026 14.393 025 13.218 030 DUP
2456281.57 +38.47 12.660 022 13.898 020 13.291 027 BAA
2456284.60 +41.50 12.911 022 14.163 020 13.502 027 DUP
2456287.75 +44.65 13.094 022 14.438 025 13.698 028 DUP
2456293.61 +50.51 13.437 026 14.871 025 13.909 030 DUP
2456295.56 +52.46 13.522 022 15.017 020 13.972 027 DUP
2456296.54 +53.44 -99 -99 15.051 033 14.039 027 BAA
2456296.62 +53.52 13.595 026 15.092 025 14.041 030 DUP
2456297.66 +54.56 13.655 026 15.148 025 14.085 030 DUP
2456298.53 +55.43 13.661 022 15.131 020 14.128 027 BAA
2456304.54 +61.44 13.967 022 15.555 020 14.350 029 BAA
2456318.59 +75.49 14.767 022 16.388 021 14.955 035 DUP
2456326.57 +83.47 15.170 022 16.859 021 15.280 029 DUP
2456327.56 +84.46 15.222 022 16.900 021 15.293 061 DUP
2456342.60 +99.50 15.861 025 17.587 025 15.926 063 DUP
2456343.59 +100.49 15.905 034 17.565 028 16.028 054 DUP
2456345.57 +102.47 16.003 026 17.693 039 16.092 033 DUP
2456346.55 +103.45 16.023 027 17.709 033 16.122 034 DUP
2456349.58 +106.48 16.138 026 17.741 031 16.134 064 DUP
2456352.58 +109.48 16.215 025 17.871 022 16.223 062 DUP
2456378.51 +135.41 16.911 022 18.591 044 16.897 045 DUP
2456382.53 +139.43 17.003 023 18.723 036 16.984 044 DUP
